path,stratum,confidence,reason,imports_surface
agent/trajectory.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/transcription_provider.py,S5,HIGH,edge capability (transcription),
agent/transcription_registry.py,S5,HIGH,edge capability (transcription),
agent/transports/__init__.py,S3,HIGH,model transport adapters (core),
agent/transports/anthropic.py,S3,HIGH,model transport adapters (core),
agent/transports/base.py,S3,HIGH,model transport adapters (core),
agent/transports/bedrock.py,S3,HIGH,model transport adapters (core),
agent/transports/chat_completions.py,S3,HIGH,model transport adapters (core),
agent/transports/codex.py,S3,HIGH,model transport adapters (core),
agent/transports/codex_app_server.py,S3,HIGH,model transport adapters (core),
agent/transports/codex_app_server_session.py,S3,HIGH,model transport adapters (core),
agent/transports/codex_event_projector.py,S3,HIGH,model transport adapters (core),
agent/transports/sparkii_tools_mcp_server.py,S3,HIGH,model transport adapters (core),
agent/transports/types.py,S3,HIGH,model transport adapters (core),
agent/tts_provider.py,S5,HIGH,edge capability (tts),
agent/tts_registry.py,S5,HIGH,edge capability (tts),
agent/turn_context.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/turn_finalizer.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/turn_retry_state.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/turn_summary.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/usage_pricing.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/verification_evidence.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/verification_stop.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/verify/__init__.py,S3,MEDIUM,self-verification (core safety),
agent/verify/environment.py,S3,MEDIUM,self-verification (core safety),
agent/verify/recipes.py,S3,MEDIUM,self-verification (core safety),
agent/verify/runner.py,S3,MEDIUM,self-verification (core safety),
agent/verify_hooks.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/vertex_adapter.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/video_gen_provider.py,S5,HIGH,edge capability (video_gen),
agent/video_gen_registry.py,S5,HIGH,edge capability (video_gen),
agent/web_search_provider.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
agent/web_search_registry.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
batch_runner.py,S3,HIGH,batch runner (core),
core/__init__.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/_subprocess_compat.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/approval_transport.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/auth_store.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/build_info.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/codex_models.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/colors.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/config.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/config_defaults.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/config_migrations.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/copilot_auth.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/credential_lifecycle.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/credential_sources.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/credentials.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/dashboard_auth.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/default_soul.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/dep_ensure.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/edit_approval.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/env_loader.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/fallback_config.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/gateway_service.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/git_worktree.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
core/goals.py,S3,MEDIUM,default kernel (rule-clear by exclusion),
